2022-02-22 09:35:32,462 DEBUG [main] com.LoggerManager (CalendarEx01Main.java:37)     - java.util.GregorianCalendar[time=1645490132461,areFieldsSet=true,areAllFieldsSet=true,lenient=true,zone=sun.util.calendar.ZoneInfo[id="Asia/Seoul",offset=32400000,dstSavings=0,useDaylight=false,transitions=22,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2022,MONTH=1,WEEK_OF_YEAR=9,WEEK_OF_MONTH=4,DAY_OF_MONTH=22,DAY_OF_YEAR=53,DAY_OF_WEEK=3,DAY_OF_WEEK_IN_MONTH=4,AM_PM=0,HOUR=9,HOUR_OF_DAY=9,MINUTE=35,SECOND=32,MILLISECOND=461,ZONE_OFFSET=32400000,DST_OFFSET=0]
2022-02-22 09:46:10,515 DEBUG [main] com.LoggerManager (CalendarEx01Main.java:43)     - cal01 : 495053715
2022-02-22 09:46:10,516 DEBUG [main] com.LoggerManager (CalendarEx01Main.java:44)     - cal02 : 1922154895
2022-02-22 09:46:30,001 DEBUG [main] com.LoggerManager (CalendarEx01Main.java:38)     - cal01 : java.util.GregorianCalendar[time=1645490789948,areFieldsSet=true,areAllFieldsSet=true,lenient=true,zone=sun.util.calendar.ZoneInfo[id="Asia/Seoul",offset=32400000,dstSavings=0,useDaylight=false,transitions=22,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2022,MONTH=1,WEEK_OF_YEAR=9,WEEK_OF_MONTH=4,DAY_OF_MONTH=22,DAY_OF_YEAR=53,DAY_OF_WEEK=3,DAY_OF_WEEK_IN_MONTH=4,AM_PM=0,HOUR=9,HOUR_OF_DAY=9,MINUTE=46,SECOND=29,MILLISECOND=948,ZONE_OFFSET=32400000,DST_OFFSET=0]
2022-02-22 09:46:30,003 DEBUG [main] com.LoggerManager (CalendarEx01Main.java:39)     - cal02 : java.util.GregorianCalendar[time=1645490789958,areFieldsSet=true,areAllFieldsSet=true,lenient=true,zone=sun.util.calendar.ZoneInfo[id="Asia/Seoul",offset=32400000,dstSavings=0,useDaylight=false,transitions=22,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2022,MONTH=1,WEEK_OF_YEAR=9,WEEK_OF_MONTH=4,DAY_OF_MONTH=22,DAY_OF_YEAR=53,DAY_OF_WEEK=3,DAY_OF_WEEK_IN_MONTH=4,AM_PM=0,HOUR=9,HOUR_OF_DAY=9,MINUTE=46,SECOND=29,MILLISECOND=958,ZONE_OFFSET=32400000,DST_OFFSET=0]
2022-02-22 09:46:30,003 DEBUG [main] com.LoggerManager (CalendarEx01Main.java:44)     - cal01 : 495053715
2022-02-22 09:46:30,003 DEBUG [main] com.LoggerManager (CalendarEx01Main.java:45)     - cal02 : 1922154895
2022-02-22 09:46:36,736 DEBUG [main] com.LoggerManager (CalendarEx01Main.java:38)     - cal01 : java.util.GregorianCalendar[time=1645490796689,areFieldsSet=true,areAllFieldsSet=true,lenient=true,zone=sun.util.calendar.ZoneInfo[id="Asia/Seoul",offset=32400000,dstSavings=0,useDaylight=false,transitions=22,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2022,MONTH=1,WEEK_OF_YEAR=9,WEEK_OF_MONTH=4,DAY_OF_MONTH=22,DAY_OF_YEAR=53,DAY_OF_WEEK=3,DAY_OF_WEEK_IN_MONTH=4,AM_PM=0,HOUR=9,HOUR_OF_DAY=9,MINUTE=46,SECOND=36,MILLISECOND=689,ZONE_OFFSET=32400000,DST_OFFSET=0]
2022-02-22 09:46:36,738 DEBUG [main] com.LoggerManager (CalendarEx01Main.java:39)     - cal02 : java.util.GregorianCalendar[time=1645490796698,areFieldsSet=true,areAllFieldsSet=true,lenient=true,zone=sun.util.calendar.ZoneInfo[id="Asia/Seoul",offset=32400000,dstSavings=0,useDaylight=false,transitions=22,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2022,MONTH=1,WEEK_OF_YEAR=9,WEEK_OF_MONTH=4,DAY_OF_MONTH=22,DAY_OF_YEAR=53,DAY_OF_WEEK=3,DAY_OF_WEEK_IN_MONTH=4,AM_PM=0,HOUR=9,HOUR_OF_DAY=9,MINUTE=46,SECOND=36,MILLISECOND=698,ZONE_OFFSET=32400000,DST_OFFSET=0]
2022-02-22 09:46:36,738 DEBUG [main] com.LoggerManager (CalendarEx01Main.java:44)     - cal01 : 495053715
2022-02-22 09:46:36,738 DEBUG [main] com.LoggerManager (CalendarEx01Main.java:45)     - cal02 : 1922154895
